"id","policyName","title","description","origin.originName","productUnits","detectedAt","status","type","severity","integration.name","assignedUser","comments","lastUpdateTime"
"07ACEC984A","RepositoryRequiredStatusChecksStrict","Repository doesn't require all checks to pass before merge","You have branch protection, but checks that validate the quality and security of the code are not required to pass before submitting new changes.  The default check makes sure code is up-to-date and prevents faulty merges and unexpected behaviours. There might be other custom checks that test security and quality. It is advised to turn this control on to ensure any existing or future check will be required to pass. This option is found in the branch protection setting for the repository.","test1/test1","['All', 'Azure']","2022-09-29T19:43:00.725Z","Open","Misconfiguration","Medium","legitbitt","None","[]","2022-09-29T19:43:00.725Z"
"E0358CBDFD","EnsureSshInternetAccessIsRestricted","Ensure that SSH access is restricted from the internet","A potential security problem using SSH over the Internet is that attackers can use various brute force techniques to gain access to Azure Virtual Machines. Once the attackers gain access, they can use a virtual machine as a launch point for compromising other machines on the Azure Virtual Network. The attackers could also access and attack networked devices outside of Azure. We recommend you disable SSH access over the internet to Network Security Groups.","test1/test1","['All', 'Azure']","2022-09-29T19:43:08.641Z","Open","IaC","Critical","legitbitt","None","[]","2022-09-29T19:43:08.641Z"
"A1D830E33C","EnsureStorageForCriticalDataAreEncryptedWithCmks","Ensure storage for critical data are encrypted with Customer Managed Key","Enable sensitive data encryption at rest using Customer Managed Keys (CMKs) rather than Microsoft Managed keys. By default, data in the storage account is encrypted using Microsoft Managed Keys at rest. All Azure Storage resources are encrypted, including blobs, disks, files, queues, and tables. All object metadata is also encrypted. However, if you want to control and manage this encryption key yourself, you can specify a customer-managed key, that key is used to protect and control access to the key that encrypts your data. You can also choose to automatically update the key version used for Azure Storage encryption whenever a new version is available in the associated Key Vault.","test1/test1","['All', 'Azure']","2022-09-29T19:43:08.646Z","Open","IaC","High","legitbitt","None","[]","2022-09-29T19:43:08.646Z"
"F14F6EAD27","HighEntropyPassword","Secret detected: High entropy password","Possible High entropy password was detected in your repository. Make sure to review it and revoke if necessary.","test1/test1","['All', 'Azure']","2022-09-29T19:43:03.897Z","Open","Secret","Low","legitbitt","None","[]","2023-09-22T16:32:53.309Z"
"C5CD476E5E","RepositoryForkable","Forking a repository is allowed but should be disabled","Forking a repository can lead to loss of control and potential exposure of the source code. The option to fork must be disabled by default, and turned on only by admins deliberately when opting to create a fork. If you do not need forking, it is recommended to turn it off in the repository configuration","test1/test1","['All', 'Azure']","2023-03-15T05:10:03.779Z","Resolved","Misconfiguration","Low","legitbitt","None","[]","2023-03-16T12:50:42.199Z"
"C68A28F5E2","RepositoryAllowsReviewRequesterToApproveTheirOwnRequest","A pull request owner can approve their own request","To comply with separation of duties and enforce secure code practices, the repository should prohibit pull request owners from approving their own changes.","test1/test1","['All', 'Azure']","2022-09-29T19:43:00.714Z","Open","Misconfiguration","Medium","legitbitt","None","[]","2022-09-29T19:43:00.714Z"
"413C0219C2","CollaboratorRequireTwoFactorAuthentication","Two-factor authentication is disabled for a collaborator","Collaborator's two-factor authentication is disabled at the source code management system. Turn it on in the collaborator setting, or globally in the account, to prevent any access without MFA.","legitbitt/Alan Bitterman","[]","2023-03-07T17:57:03.171Z","Resolved","Misconfiguration","High","legitbitt","None","[]","2023-03-15T19:31:06.901Z"
"D73864EF96","RepositoryRequireCodeOwnerReviews","Code review is not limited to code-owners only","It is recommended to require code review only from designated individuals specified in CODEOWNERS file. Turning this option on enforces that only the allowed owners can approve a code change. This option is found in the branch protection setting of the repository.","test1/test1","['All', 'Azure']","2023-03-15T05:10:03.779Z","Resolved","Misconfiguration","Low","legitbitt","None","[]","2023-03-16T12:50:42.199Z"
"1B47223C16","RepositoryShouldEnforceFilePathValidation","Repository group should enforce file path validation","File path validation is disabled. When using ADO, it is recommended to implement file path validation that prevents from sensitive files such as secrets being pushed the the version control platform.","test1","[]","2023-04-09T14:49:04.829Z","Open","Misconfiguration","Low","legitbitt","None","[]","2023-04-09T14:49:04.829Z"
"A7E115073C","AsymmetricPrivateKey","Secret detected: Asymmetric private key","Possible Asymmetric private key was detected in your repository. Make sure to review it and revoke if necessary.","test1/test1","['All', 'Azure']","2022-09-29T19:43:03.977Z","Open","Secret","Medium","legitbitt","None","[]","2023-10-11T05:48:33.112Z"
"6C0E11831A","AsymmetricPrivateKey","Secret detected: Asymmetric private key","Possible Asymmetric private key was detected in your repository. Make sure to review it and revoke if necessary.","test1/test1","['All', 'Azure']","2022-09-29T19:43:03.978Z","Open","Secret","Medium","legitbitt","None","[]","2023-10-11T05:48:33.552Z"
"F7A1DF55AE","AsymmetricPrivateKey","Secret detected: Asymmetric private key","Possible Asymmetric private key was detected in your repository. Make sure to review it and revoke if necessary.","test1/test1","['All', 'Azure']","2022-09-29T19:43:03.967Z","Open","Secret","Medium","legitbitt","None","[]","2023-10-11T05:48:32.791Z"
"93BFFE0FEA","RepositoryIsntRetainIndefinitely","Default branch history can be modified or deleted","The history of the default branch is not protected against changes or deletion for this repository. Protecting branches history ensures every change that was made to the code can be retained and later examined. This issue is raised if the default branch can be deleted or its history can be modified using force push.","test1/test1","['All', 'Azure']","2023-03-15T05:10:03.779Z","Open","Misconfiguration","Medium","legitbitt","None","[]","2024-01-26T18:23:07.416Z"
"C9474F5C23","SocialSecurityNumber","PII Detected: Social security number","Possible Social security number was detected in your repository","test1/test1","['All', 'Azure']","2022-09-29T19:43:03.899Z","Ignored","Secret","High","legitbitt","None","[]","2022-09-29T19:43:03.899Z"
"9763C2AF4F","EnsureVirtualMachineExtensionsAreNotInstalled","Ensure Virtual Machine Extensions are not Installed","Ensure that your Microsoft Azure virtual machines (VMs) does not have extensions installed in order to follow your organization's security and compliance requirements. Azure virtual machine extensions are small cloud applications that provide post-deployment configuration and automation tasks for virtual machines. These extensions run with administrative privileges and could potentially access any configuration file or piece of data on a virtual machine.","test1/test1","['All', 'Azure']","2022-09-29T19:43:08.645Z","Open","IaC","Medium","legitbitt","None","[]","2022-09-29T19:43:08.645Z"
"C7F7978786","RepositoryDoesNotEncourageWorkItemLinking","Linking pull requests to work items is not enforced","Pull requests should be linked to the matching work item (ticket) for compliance purposes.This can be enforced or encouraged by the repository.","test1/test1","['All', 'Azure']","2022-09-29T19:43:00.721Z","Open","Misconfiguration","Low","legitbitt","None","[]","2023-09-22T16:32:48.611Z"
"3E4D7B0F2D","CollaboratorRequireTwoFactorAuthentication","Two-factor authentication is disabled for a collaborator","Collaborator's two-factor authentication is disabled at the source code management system. Turn it on in the collaborator setting, or globally in the account, to prevent any access without MFA.","legitbitt/John Tierney","[]","2023-03-07T17:57:03.393Z","Resolved","Misconfiguration","High","legitbitt","None","[]","2023-04-18T10:08:59.23Z"
"5F29B1E78C","RepositoryDoesNotDefineDefaultReviewers","Repository doesn’t have defined default reviewers","It is recommended to require code review only from designated individuals specified in 'Default reviewers'. Turning this option on enforces that only the allowed reviewers can approve a code change. To learn more about default reviewers, go [here](https://confluence.atlassian.com/bitbucketserver/add-default-reviewers-to-pull-requests-834221295.html).","test1/test1","['All', 'Azure']","2023-03-15T05:10:03.779Z","Resolved","Misconfiguration","Low","legitbitt","None","[]","2023-03-16T12:50:42.199Z"
"0EB92CC3BC","EnsureNetworkInterfacesDoNotUsePublicIps","Ensure that Network Interfaces don't use public IPs","A public IP address is an IPv4 address that is reachable from the Internet. You can use public addresses for communication between your instances and the Internet.  We recommend you control whether your network interfaces are required to use a public IP address.","test1/test1","['All', 'Azure']","2022-09-29T19:43:08.645Z","Open","IaC","Low","legitbitt","None","[]","2023-09-22T16:32:55.547Z"
"FA678356AB","EnsureSecureTransferRequiredIsEnabled","Ensure that 'supportsHttpsTrafficOnly' is set to 'true'","Microsoft recommends that you always require secure transfer for all of your storage accounts. When secure transfer is required a call to an Azure Storage REST API operation must be made over HTTPS. A request made over HTTP is rejected. We recommend you configure Azure Blob storage to accept requests from secure connections only. This is achieved by setting the Secure Transfer Required property. When you require secure transfer, any requests originating from an insecure connection are rejected.","test1/test1","['All', 'Azure']","2022-09-29T19:43:08.645Z","Resolved","IaC","High","legitbitt","None","[]","2023-01-18T20:21:06.21Z"
"4E9FC532D7","EnsureAzureStorageAccountDoesNotAllowBlobContainersWithPublicAccess","Ensure that Storage accounts disallow public access","As a best practice, do not allow anonymous/public access to blob containers unless you have a very good reason. Instead, you should consider using a shared access signature token for providing controlled and time-limited access to blob containers.\n\n'Public access level' allows you to grant anonymous/public read access to a container and the blobs within Azure blob storage. By doing so, you can grant read-only access to these resources without sharing your account key, and without requiring a shared access signature.","test1/test1","['All', 'Azure']","2023-01-18T20:21:05.956Z","Open","IaC","Low","legitbitt","None","[]","2023-09-22T16:32:56.541Z"
"399D92BF4D","EnsureStorageLoggingForQueueServiceHasReadWriteAndDeleteRequestsEnabled","Ensure Storage logging is enabled for Queue service for read, write and delete requests","The Azure Queue Storage service stores messages that may be read by any client with access to the storage account. A queue may contain an unlimited number of messages, each of which can be up to 64KB in size when using version 2011-08-18 or newer.  Storage Logging takes place server-side recording details in the storage account for both successful and failed requests. These logs allow users to see the details of read, write, and delete operations against the queues. Storage Logging log entries contain the following information about individual requests: timing information, for example start time, end-to-end latency, server latency, authentication details, concurrency information, and the size of request and response messages. Storage Analytics logs contain detailed information about successful and failed requests to a storage service. This information can be used to monitor individual requests and to diagnose issues with a storage service. Requests are logged on a best-effort basis. Storage Analytics logging is not enabled by default for your storage account.","test1/test1","['All', 'Azure']","2022-09-29T19:43:08.643Z","Open","IaC","Medium","legitbitt","None","[]","2022-09-29T19:43:08.643Z"
"CE63716F04","EnsureStorageAccountsAdhereToTheNamingRules","Ensure Storage Accounts adhere to the naming rules","Azure has the following rules for naming your storage account: - Names must be between 3 and 24 characters long - Names may contain numbers and lowercase letters only - Your storage account name must be unique This policy ensures that you have not provided an invalid name for your Storage Account.","test1/test1","['All', 'Azure']","2022-09-29T19:43:08.665Z","Resolved","IaC","Low","legitbitt","None","[]","2023-01-18T20:21:06.21Z"
"EEB1587161","RepositoryAllReviewersApprove","It is possible to merge code without the approval of all reviewers","You have branch protection, but submitted code is not required to be approved before merge.Turn this on to enforce high-quality and secure code standards and comply with separation-of-duties. This option is found in the branch protection setting for the repository.","test1/test1","['All', 'Azure']","2023-03-15T05:10:03.779Z","Resolved","Misconfiguration","Low","legitbitt","None","[]","2023-03-16T12:50:42.199Z"
"8C6038097A","RepositoryAtLeastOneSuccessfulBuild","It is allowed to merge code that failed to build","Bitbucket allows blocking merge if a build step fails. It is possible to specify the minimum number of successful builds required to pass. It is recommended to set the minimum successful builds to at least 1, to prevent faulty code to be merged. This option is found in the branch protection setting for the repository.","test1/test1","['All', 'Azure']","2023-03-15T05:10:03.779Z","Resolved","Misconfiguration","Low","legitbitt","None","[]","2023-03-16T12:50:42.199Z"
"699275AF6A","HighSeveritySastIssue","Repository has High severity SAST vulnerability","Vulnerable code was detected by a static code scanner. It is strongly recommended to remediate it","test1/test1","['All', 'Azure']","2023-12-04T17:59:05.236Z","Open","Sast","High","legitbitt","None","[]","2023-12-04T17:59:05.236Z"
"B7DA450DB6","HighSeveritySastIssue","Repository has High severity SAST vulnerability","Vulnerable code was detected by a static code scanner. It is strongly recommended to remediate it","test1/test1","['All', 'Azure']","2023-12-04T17:59:05.126Z","Open","Sast","High","legitbitt","None","[]","2023-12-04T17:59:05.126Z"
"F2657E293D","HighSeveritySastIssue","Repository has High severity SAST vulnerability","Vulnerable code was detected by a static code scanner. It is strongly recommended to remediate it","test1/test1","['All', 'Azure']","2023-12-04T17:59:05.276Z","Open","Sast","High","legitbitt","None","[]","2023-12-04T17:59:05.276Z"
"2B36A7482B","HighSeveritySastIssue","Repository has High severity SAST vulnerability","Vulnerable code was detected by a static code scanner. It is strongly recommended to remediate it","test1/test1","['All', 'Azure']","2023-12-04T17:59:05.33Z","Open","Sast","High","legitbitt","None","[]","2023-12-04T17:59:05.33Z"
"478480A89E","HighSeveritySastIssue","Repository has High severity SAST vulnerability","Vulnerable code was detected by a static code scanner. It is strongly recommended to remediate it","test1/test1","['All', 'Azure']","2023-12-04T17:59:05.126Z","Open","Sast","High","legitbitt","None","[]","2023-12-04T17:59:05.126Z"
"CEADE047AE","HighSeveritySastIssue","Repository has High severity SAST vulnerability","Vulnerable code was detected by a static code scanner. It is strongly recommended to remediate it","test1/test1","['All', 'Azure']","2023-12-04T17:59:05.246Z","Open","Sast","High","legitbitt","None","[]","2023-12-04T17:59:05.246Z"
"A12B74DD83","HighSeveritySastIssue","Repository has High severity SAST vulnerability","Vulnerable code was detected by a static code scanner. It is strongly recommended to remediate it","test1/test1","['All', 'Azure']","2023-12-04T17:59:05.259Z","Open","Sast","High","legitbitt","None","[]","2023-12-04T17:59:05.259Z"
"808FEE20A7","HighSeveritySastIssue","Repository has High severity SAST vulnerability","Vulnerable code was detected by a static code scanner. It is strongly recommended to remediate it","test1/test1","['All', 'Azure']","2023-12-04T17:59:05.355Z","Open","Sast","High","legitbitt","None","[]","2023-12-04T17:59:05.355Z"
"94055CE873","HighSeveritySastIssue","Repository has High severity SAST vulnerability","Vulnerable code was detected by a static code scanner. It is strongly recommended to remediate it","test1/test1","['All', 'Azure']","2023-12-04T17:59:05.382Z","Open","Sast","High","legitbitt","None","[]","2023-12-04T17:59:05.382Z"
"D36DE0C380","HighSeveritySastIssue","Repository has High severity SAST vulnerability","Vulnerable code was detected by a static code scanner. It is strongly recommended to remediate it","test1/test1","['All', 'Azure']","2023-12-04T17:59:05.373Z","Open","Sast","High","legitbitt","None","[]","2023-12-04T17:59:05.373Z"
